,측정일시,광진구오존,광진구미세먼지,동대문구오존,동대문구미세먼지,성동구오존,성동구미세먼지,중랑구오존,중랑구미세먼지
1438,20211209,0.005,28.0,0.003,36.0,0.003,32.0,0.005,32.0
1439,20211210,0.005,22.0,0.002,31.0,0.002,31.0,0.003,29.0
1440,20211211,0.007,63.0,0.013,64.0,0.01,68.0,0.007,68.0
1441,20211212,0.021,41.0,0.029,38.0,0.026,40.0,0.023,40.0
1442,20211213,0.015,22.0,0.02,19.0,0.017,21.0,0.022,30.0
1443,20211214,0.005,32.0,0.006,34.0,0.006,34.0,0.007,34.0
1444,20211215,0.009,73.0,0.013,82.0,0.01,84.0,0.011,80.0
1445,20211216,0.011,83.0,0.019,90.0,0.012,93.0,0.012,90.0
1446,20211217,0.023,38.0,0.027,32.0,0.024,36.0,0.026,37.0
1447,20211218,0.013,24.0,0.013,22.0,0.011,23.0,0.014,22.0
1448,20211219,0.015,32.0,0.017,33.0,0.015,32.0,0.014,31.0
1449,20211220,0.01,51.0,0.01,56.0,0.007,58.0,0.008,54.0
1450,20211221,0.014,61.0,0.003,84.0,0.013,67.0,0.016,63.0
1451,20211222,0.01,34.0,0.011,32.0,0.01,34.0,0.013,34.0
1452,20211223,0.003,43.0,0.006,44.0,0.004,49.0,0.006,41.0
1453,20211224,0.01,44.0,0.011,48.0,0.011,52.0,0.011,48.0
1454,20211225,0.024,22.0,0.028,22.0,0.025,23.0,0.025,25.0
1455,20211226,0.023,15.0,0.028,15.0,0.023,16.0,0.025,17.0
1456,20211227,0.011,23.0,0.008,30.0,0.007,31.0,0.01,30.0
1457,20211228,0.003,42.0,0.003,51.0,0.002,52.0,0.004,46.0
1458,20211229,0.008,54.0,0.01,65.0,0.009,64.0,0.003,57.0
1459,20211230,0.022,26.0,0.027,26.0,0.025,31.0,0.025,28.0
1460,20211231,0.026,21.0,0.031,21.0,0.031,21.0,0.028,22.0
