,날짜,광진구유동인구,동대문구유동인구,성동구유동인구,중랑구유동인구
70,20200311,300837,144389,279504,96676
71,20200312,297886,140974,274185,94768
72,20200313,311412,145473,280300,96486
73,20200314,218378,99075,156705,61911
74,20200315,156390,66250,102596,41765
75,20200316,297310,145916,276343,96548
76,20200317,294958,142173,276395,95607
77,20200318,310399,149601,284107,97980
78,20200319,288930,137575,271726,93852
79,20200320,329276,157858,292176,100893
80,20200321,234935,105771,162784,64434
81,20200322,182772,72847,110196,44967
82,20200323,308757,149935,276815,98212
83,20200324,308959,149019,283149,97644
84,20200325,319491,153567,286530,99414
85,20200326,300740,149326,281014,97344
86,20200327,325854,155259,292586,99373
87,20200328,241678,110002,166157,64956
88,20200329,184674,75103,113343,45711
89,20200330,311876,153221,283953,99216
90,20200331,313343,153176,285856,99340
91,20200401,316190,151604,288265,99567
92,20200402,315045,154532,288289,99416
93,20200403,334912,160568,298113,101371
94,20200404,246645,110681,170859,65476
95,20200405,178878,76582,114447,45702
96,20200406,313392,157343,289567,101298
97,20200407,317087,157083,294022,101203
98,20200408,317553,158082,295663,102067
99,20200409,316962,158988,295454,101555
100,20200410,337993,165486,304020,103026
101,20200411,246615,116904,174201,69181
102,20200412,179027,80595,114944,47031
103,20200413,319907,163438,291668,102906
104,20200414,334206,162256,306706,104219
105,20200415,216779,102796,159352,62120
106,20200416,325249,164297,300875,103503
107,20200417,326063,156470,300828,101617
108,20200418,270018,127485,190327,71762
109,20200419,172126,81407,116163,47419
110,20200420,321681,166403,301063,105103
111,20200421,329172,170578,307909,106425
112,20200422,327365,165355,306192,104965
113,20200423,334337,171976,311045,106928
114,20200424,358766,182557,324442,109941
115,20200425,273474,135218,194445,75664
116,20200426,209564,97423,135353,55079
117,20200427,338312,179235,314080,108786
118,20200428,345510,182310,319631,109550
119,20200429,370728,188076,331813,112055
120,20200430,259984,125544,174196,67505
121,20200501,274078,138865,193021,73951
122,20200502,263542,128563,179068,69293
123,20200503,214098,99036,134190,54399
124,20200504,334242,168204,278275,99564
125,20200505,236388,111885,156250,61234
126,20200506,365875,186205,327587,113929
127,20200507,372524,189148,332474,113853
128,20200508,385409,194130,340482,117691
129,20200509,247445,112972,179268,70883
130,20200510,214283,100402,139413,56279
131,20200511,355695,182779,321471,112627
132,20200512,351385,176115,323902,111319
133,20200513,359316,180512,327200,113070
134,20200514,356156,178303,324470,111631
135,20200515,353842,169213,321411,108538
136,20200516,267990,131462,199361,76248
137,20200517,213582,98601,143883,57641
138,20200518,334373,171669,313476,108646
139,20200519,339147,168529,319592,108394
140,20200520,365117,187457,338182,115045
141,20200521,366311,185681,335266,114098
142,20200522,380728,193209,342606,115289
143,20200523,305921,148287,219897,82726
144,20200524,207972,93791,138793,54622
145,20200525,358180,187139,328353,113316
146,20200526,353963,183063,329470,113599
147,20200527,367703,187614,334705,115704
148,20200528,362555,183844,328487,113290
149,20200529,381262,188526,333922,115037
150,20200530,294145,137300,202649,80411
151,20200531,214680,97388,137195,56148
152,20200601,354184,180452,319627,112079
153,20200602,342123,172046,318009,110120
154,20200603,359623,183690,329768,113270
155,20200604,360487,181352,327495,112742
156,20200605,385613,190821,337412,115006
157,20200606,277160,128386,184052,72673
158,20200607,217471,98549,139280,57338
159,20200608,352009,178018,317561,110879
160,20200609,352983,176688,325273,111372
161,20200610,352762,179306,330476,112299
162,20200611,356485,178091,327455,111684
163,20200612,376843,187582,336003,113748
164,20200613,286410,135707,204882,77382
165,20200614,215194,96734,137776,54569
166,20200615,355004,180601,328335,111981
167,20200616,357875,179631,333707,112549
168,20200617,360970,180456,338555,112682
169,20200618,359599,181332,334663,112349
170,20200619,381603,187752,344543,114196
171,20200620,298001,137433,210980,80016
172,20200621,215858,97096,142405,57088
173,20200622,346706,174674,324155,111441
174,20200623,354197,181889,333181,113240
175,20200624,338549,166299,324111,108925
176,20200625,350204,178964,332191,112283
177,20200626,386851,194794,346629,116422
178,20200627,304240,145288,216793,81454
179,20200628,228107,100810,150120,57556
180,20200629,355178,182887,328864,115041
181,20200630,350961,174772,328452,113792
182,20200701,368595,185711,339582,117009
183,20200702,371638,186562,339672,115961
184,20200703,394767,192438,349153,118112
185,20200704,308181,142471,215138,81464
186,20200705,223347,101406,147074,56785
187,20200706,367628,183795,333129,113277
188,20200707,368168,184906,336902,113981
189,20200708,375152,184394,343435,114905
190,20200709,374177,184033,342266,113517
191,20200710,388973,186294,346721,113723
192,20200711,307986,143712,215512,81437
193,20200712,221921,103697,146270,56398
194,20200713,345172,164547,319978,108663
195,20200714,364660,186937,341087,114085
196,20200715,384390,193258,350723,116805
197,20200716,379696,186488,345509,115443
198,20200717,395550,191736,350562,116385
199,20200718,307180,145410,215356,81456
200,20200719,190806,85061,130594,49735
201,20200720,354591,175331,327485,110614
202,20200721,375525,187153,342268,115669
203,20200722,364466,177064,339823,114221
204,20200723,355662,171976,336566,111127
205,20200724,382265,190526,345688,114844
206,20200725,298405,148783,215393,79772
207,20200726,224227,105124,148425,58135
208,20200727,353346,177417,327638,111903
209,20200728,363936,183122,337138,114194
210,20200729,353984,168982,330260,110732
211,20200730,366424,182841,333792,111688
212,20200731,389250,191967,340603,113559
213,20200801,251532,121768,180547,67590
214,20200802,182383,79274,123556,46348
215,20200803,326361,148884,296574,100573
216,20200804,339687,162819,311668,104687
217,20200805,340911,161008,315324,105327
218,20200806,358846,169862,336238,110603
219,20200807,382740,190692,346469,114452
220,20200808,284310,138690,207316,77398
221,20200809,180944,75925,123712,46383
222,20200810,352114,173890,324818,110437
223,20200811,353794,170713,330834,111200
224,20200812,371607,186268,341557,114105
225,20200813,363452,183913,336045,111757
226,20200814,375875,184383,332248,109825
227,20200815,237166,114380,169965,62412
228,20200816,203150,98318,140255,53649
229,20200817,241610,121832,180832,69087
230,20200818,334315,165374,308103,106269
231,20200819,319880,158249,298644,103698
232,20200820,312601,156757,292763,102254
233,20200821,314526,157735,289960,101163
234,20200822,188447,100492,142999,59390
235,20200823,145903,74494,100168,41456
236,20200824,295927,152309,280458,98778
237,20200825,298455,154340,283458,100159
238,20200826,288959,149639,279107,97733
239,20200827,268709,135877,260920,91726
240,20200828,296367,152203,277943,97633
241,20200829,173745,94692,134448,56130
242,20200830,124243,65212,87366,37104
243,20200831,274629,146796,260435,93772
244,20200901,271442,142477,257268,93067
245,20200902,255371,134129,251129,89539
246,20200903,258724,135461,251086,89064
247,20200904,297195,158043,270689,96321
248,20200905,194554,108774,142165,59011
249,20200906,132755,71599,92217,39271
250,20200907,255900,129310,252896,89454
251,20200908,284893,157236,273722,96829
252,20200909,278802,152458,268131,95929
253,20200910,288011,158032,274665,97585
254,20200911,301120,164624,279970,99830
255,20200912,194274,110840,148588,60860
256,20200913,157682,83355,107293,44448
257,20200914,304525,168373,287532,102572
258,20200915,313201,171765,297937,104334
259,20200916,306809,163106,296744,102858
260,20200917,316809,173173,302243,104947
261,20200918,341872,182439,313967,107923
262,20200919,255494,136177,189420,72775
263,20200920,186326,95956,127189,50457
264,20200921,328275,180321,309941,108636
265,20200922,331915,183950,315482,110229
266,20200923,336462,183480,320522,110849
267,20200924,339198,183198,319829,110879
268,20200925,360368,192633,331638,113865
269,20200926,267370,145691,199768,76051
270,20200927,193040,104609,133572,52305
271,20200928,342472,192377,319238,110805
272,20200929,348219,187397,311883,108183
273,20200930,164593,88762,110902,46644
274,20201001,122024,50094,76425,35430
275,20201002,165807,66552,105396,44057
276,20201003,203548,88714,133702,53514
277,20201004,187811,81988,122342,49710
278,20201005,336160,171129,312960,109762
279,20201006,343780,176023,323799,112395
280,20201007,347550,178639,328452,112827
281,20201008,366253,186434,338618,114099
282,20201009,261467,129072,189772,70778
283,20201010,267435,134165,192899,73770
284,20201011,203530,97342,133744,53793
285,20201012,350074,184649,325134,114553
286,20201013,355245,188105,334203,116479
287,20201014,358804,187157,338909,116518
288,20201015,358759,187735,336549,116437
289,20201016,377743,192480,343846,117201
290,20201017,305598,153354,217527,86199
291,20201018,222792,107890,149099,59505
292,20201019,355203,183532,332979,116931
293,20201020,363207,191733,344149,121488
294,20201021,362351,189410,344688,120828
295,20201022,366387,188566,344094,119453
296,20201023,390303,199592,355452,122210
297,20201024,311041,156193,222957,86285
298,20201025,234125,114441,153119,60853
299,20201026,364963,189726,339354,121011
300,20201027,368739,194424,345087,120180
301,20201028,372054,192599,348860,120009
302,20201029,375351,192830,347175,120140
303,20201030,400495,201836,357873,121075
304,20201031,325510,157772,235197,86482
305,20201101,206904,96292,143335,54197
306,20201102,365660,191031,339328,118713
307,20201103,368115,189298,349121,120754
308,20201104,369445,187281,350598,119413
309,20201105,375992,192999,352012,120550
310,20201106,396229,197990,357825,120500
311,20201107,318012,157899,232893,85415
312,20201108,239627,115838,161308,60893
313,20201109,363976,186712,339926,119408
314,20201110,373190,193146,352215,121437
315,20201111,382507,193765,358039,121213
316,20201112,379566,194734,352619,120249
317,20201113,399074,190180,360219,120837
318,20201114,312749,152020,227370,84005
319,20201115,231221,110214,157572,59998
320,20201116,364363,186685,341326,118538
321,20201117,366694,186425,345492,119680
322,20201118,358039,179629,342050,117242
323,20201119,346232,164342,328978,112206
324,20201120,379456,188647,345589,118145
325,20201121,278980,136573,204232,77632
326,20201122,190049,89883,131693,51098
327,20201123,341542,175660,322738,111605
328,20201124,330276,172288,316598,110307
329,20201125,332475,175207,317890,110746
330,20201126,324291,172128,309044,107879
331,20201127,328135,172295,305025,106931
332,20201128,217606,114483,162750,68421
333,20201129,159078,81052,112260,47271
334,20201130,308416,163288,295468,105518
335,20201201,309486,163979,294480,106114
336,20201202,314150,166430,300888,105776
337,20201203,309959,163846,299684,104862
338,20201204,320050,168706,299310,105856
339,20201205,233477,114913,178212,66774
340,20201206,155849,80490,122270,46471
341,20201207,301749,161074,289771,103927
342,20201208,290801,153256,280416,101175
343,20201209,292567,155035,279582,100962
344,20201210,294003,155823,278512,101246
345,20201211,304361,161272,281825,101986
346,20201212,197131,109964,144084,62362
347,20201213,130686,63205,87608,39562
348,20201214,272028,138502,258155,94784
349,20201215,269483,137014,258495,94021
350,20201216,267898,137992,258268,92705
351,20201217,272083,142995,261591,94301
352,20201218,289590,155081,267581,97724
353,20201219,181210,97523,133892,58703
354,20201220,127749,66426,87944,39199
355,20201221,279614,148037,265898,97442
356,20201222,282398,148719,267680,97150
357,20201223,285529,150345,270617,96881
358,20201224,290930,153440,269467,96546
359,20201225,145365,78667,103778,45173
360,20201226,161385,93175,117227,53009
361,20201227,122615,65215,81763,37843
362,20201228,275606,152720,259871,95441
363,20201229,277586,151882,261737,95262
364,20201230,283650,136298,251722,91215
365,20201231,262764,138674,236839,88032
