,날짜,광진구유동인구,동대문구유동인구,성동구유동인구,중랑구유동인구
0,20200101,236351,108095,144282,49236
1,20200102,430710,215579,372503,111788
2,20200103,466572,231773,393994,116672
3,20200104,393192,194812,255268,85025
4,20200105,291802,145634,183006,62569
5,20200106,434480,215560,382865,115140
6,20200107,422780,198520,377296,113425
7,20200108,444612,222217,396387,115477
8,20200109,453273,230830,396777,117593
9,20200110,482669,242434,410286,120630
10,20200111,405923,209934,275586,88966
11,20200112,305055,152546,202833,64746
12,20200113,437697,227197,382974,116251
13,20200114,444109,229164,391755,116572
14,20200115,452646,234315,397047,117883
15,20200116,451541,238631,394608,118340
16,20200117,479495,248506,407800,119497
17,20200118,401839,216764,276213,87773
18,20200119,295797,152125,190794,63462
19,20200120,443084,242450,390078,117957
20,20200121,445429,241311,393065,117829
21,20200122,453608,242867,394860,117181
22,20200123,449791,230192,365243,111186
23,20200124,215828,113487,127966,48488
24,20200125,179022,85164,105012,46031
25,20200126,242850,110925,142316,52939
26,20200127,251035,119785,156394,53994
27,20200128,398954,193968,350555,107987
28,20200129,412392,204464,374044,112357
29,20200130,411957,207340,374581,112629
30,20200131,423525,210183,380557,110898
31,20200201,315171,154480,224799,73366
32,20200202,229445,109716,155088,52242
33,20200203,388588,192167,354680,107608
34,20200204,390293,191779,361161,107758
35,20200205,377759,181995,356096,104259
36,20200206,373181,182240,350137,102795
37,20200207,401470,195713,364244,107151
38,20200208,303369,141229,216666,72378
39,20200209,227278,104579,153078,52222
40,20200210,385517,190788,349735,105868
41,20200211,396649,197364,361423,108904
42,20200212,383348,184361,356156,105613
43,20200213,406238,201553,367063,109562
44,20200214,437298,213972,381567,112415
45,20200215,339440,164502,239500,80086
46,20200216,244856,108534,160791,55147
47,20200217,399376,186594,360101,108591
48,20200218,398402,189358,362848,108026
49,20200219,404558,195350,357200,109227
50,20200220,399242,192019,347111,107689
51,20200221,402060,190838,341362,105154
52,20200222,270269,122924,185680,66944
53,20200223,188838,81531,126194,44847
54,20200224,326804,159742,302241,94393
55,20200225,297493,142277,285479,88145
56,20200226,302084,151815,286759,87743
57,20200227,295713,148900,278978,86786
58,20200228,287888,140746,269264,84431
59,20200229,184835,94094,138427,51774
60,20200301,129416,60421,88934,34217
61,20200302,281445,141524,267067,83956
62,20200303,281455,142397,268723,83564
63,20200304,279656,138950,265534,83185
64,20200305,284392,139725,267931,83854
65,20200306,301568,148663,275583,86032
66,20200307,203513,97424,147856,53339
67,20200308,158008,68333,100770,37149
68,20200309,302241,146640,276412,87445
69,20200310,282951,134136,270908,84019
