,날짜,광진구유동인구,동대문구유동인구,성동구유동인구,중랑구유동인구
213,20210802,286634,148823,271704,95538
214,20210803,294777,149962,276140,97328
215,20210804,296668,148697,280015,97802
216,20210805,300785,154743,287503,99067
217,20210806,309067,159153,288138,100588
218,20210807,222117,119069,171947,67376
219,20210808,162573,85602,116700,46106
220,20210809,308186,162140,289378,102703
221,20210810,311609,161968,297726,103649
222,20210811,311388,158589,297735,103285
223,20210812,307209,159475,295245,102204
224,20210813,320213,166780,298916,102134
225,20210814,229448,125133,174794,68446
226,20210815,179558,90906,127934,49601
227,20210816,219333,116699,168609,66015
228,20210817,317098,164992,303366,106287
229,20210818,317771,162289,304434,105578
230,20210819,322461,167060,308061,106024
231,20210820,331156,174871,310850,107463
232,20210821,207411,105310,165461,62612
233,20210822,182108,95518,132266,51031
234,20210823,313408,161853,303362,104612
235,20210824,309242,156584,301845,103913
236,20210825,325869,170518,315014,108022
237,20210826,325487,172715,312491,107882
238,20210827,330388,171429,310859,106898
239,20210828,254378,139465,195257,72946
240,20210829,192802,97827,139786,52030
241,20210830,325479,174538,311451,108676
242,20210831,313454,159015,307704,105177
243,20210901,323430,168050,313259,108090
244,20210902,327381,175767,315985,109652
245,20210903,353560,183043,328009,112211
246,20210904,276386,142337,207761,78131
247,20210905,208866,103144,147580,54725
248,20210906,328825,176208,318313,111152
249,20210907,314520,154505,307531,105944
250,20210908,340274,180595,327992,112753
251,20210909,340242,182261,325033,111575
252,20210910,355839,188057,333787,113779
253,20210911,286036,149430,221480,78534
254,20210912,214804,108324,157435,56317
255,20210913,335898,183910,321607,111965
256,20210914,339409,186087,325808,112457
257,20210915,350197,189665,335711,114102
258,20210916,351026,194369,333463,113838
259,20210917,368941,194064,335221,115001
260,20210918,261506,145741,186443,73423
261,20210919,192607,108515,131158,53271
262,20210920,156366,80977,102755,43419
263,20210921,133041,51464,80760,37494
264,20210922,197066,76983,126998,49293
265,20210923,327475,159483,299897,107094
266,20210924,349620,171986,322375,111610
267,20210925,268186,132196,200481,75395
268,20210926,207358,96780,144385,55016
269,20210927,334270,173195,322736,112592
270,20210928,334918,171360,324906,113564
271,20210929,324893,158114,317223,108847
272,20210930,344949,177216,327221,113540
273,20211001,364739,183592,337457,114847
274,20211002,290371,140714,212653,78084
275,20211003,229469,105491,160396,58602
276,20211004,227058,118919,176092,67595
277,20211005,337157,172576,328083,114298
278,20211006,336747,165227,326579,112312
279,20211007,340110,173371,328015,113199
280,20211008,360621,178991,334171,114835
281,20211009,276220,139090,201875,72690
282,20211010,202272,94307,145095,52843
283,20211011,253191,131060,185956,72189
284,20211012,345382,177006,332819,115404
285,20211013,354688,179527,339397,116019
286,20211014,349938,180221,335064,115330
287,20211015,363624,183270,340204,116450
288,20211016,290229,146852,221387,82113
289,20211017,208300,101851,150637,56737
290,20211018,334995,172717,325517,112942
291,20211019,341373,174313,330314,115095
292,20211020,352535,182943,343171,118593
293,20211021,352130,183134,341300,117782
294,20211022,372120,192381,347360,119583
295,20211023,307467,154546,231025,85544
296,20211024,231209,112535,161252,59936
297,20211025,351616,186144,338826,118505
298,20211026,358726,187667,345614,120812
299,20211027,365699,187340,351819,118385
300,20211028,364924,187722,348326,117954
301,20211029,386419,194888,356586,118540
302,20211030,319427,154948,241476,85685
303,20211031,248553,116624,173374,62593
304,20211101,356253,184892,341188,116489
305,20211102,361792,186844,351079,118265
306,20211103,369192,189010,354173,118926
307,20211104,367852,187196,354683,118172
308,20211105,395251,197391,365694,119538
309,20211106,328224,161563,249943,87027
310,20211107,251293,121639,182106,62793
311,20211108,339115,164590,329740,111534
312,20211109,352720,175712,347552,115762
313,20211110,370569,184986,361603,121431
314,20211111,376135,189290,360789,120669
315,20211112,391067,194553,363276,120197
316,20211113,314993,161475,238622,84724
317,20211114,237368,115228,167946,62399
318,20211115,357979,183460,340652,118117
319,20211116,365503,184775,352719,120142
320,20211117,369951,187324,360367,120806
321,20211118,366064,183089,351514,117117
322,20211119,393944,194989,363788,119824
323,20211120,331942,154813,242190,85400
324,20211121,228966,112820,170458,60143
325,20211122,359297,179882,344911,119338
326,20211123,361351,176979,352787,119868
327,20211124,366898,180489,356046,120395
328,20211125,372306,188346,358023,120909
329,20211126,388807,192378,362984,121546
330,20211127,309378,152106,253923,84213
331,20211128,238404,114149,189035,60468
332,20211129,358913,181938,343966,118482
333,20211130,343224,161656,341006,115281
334,20211201,360552,174904,351334,119344
335,20211202,357495,177752,348906,117554
336,20211203,378212,186808,359694,119544
337,20211204,285558,144264,225185,80647
338,20211205,210299,106901,159652,58526
339,20211206,346142,174452,337290,117570
340,20211207,351279,177306,343243,118839
341,20211208,351916,176893,344095,117173
342,20211209,351362,176563,340450,115354
343,20211210,364940,178577,347291,115642
344,20211211,276014,139610,216960,80599
345,20211212,205554,102165,154563,55510
346,20211213,334619,163552,323128,112906
347,20211214,343300,170536,336721,116255
348,20211215,350566,172439,346764,115966
349,20211216,352928,176352,347651,115259
350,20211217,368331,175356,351969,114447
351,20211218,276413,129283,220215,76865
352,20211219,212315,99553,161784,55399
353,20211220,348571,176090,339119,114571
354,20211221,358331,179245,350002,116712
355,20211222,366767,181339,353189,116642
356,20211223,369238,183975,351917,114967
357,20211224,381149,189690,352834,114230
358,20211225,235935,107965,174385,60477
359,20211226,182287,84288,130781,47499
360,20211227,332162,161590,316980,106821
361,20211228,347442,173926,335023,111867
362,20211229,359176,181177,344870,113735
363,20211230,377097,179249,337143,111690
364,20211231,347905,172667,304774,105653
