,날짜,광진구유동인구,동대문구유동인구,성동구유동인구,중랑구유동인구
0,20210101,103938,49189,70770,31997
1,20210102,159088,83087,108283,49355
2,20210103,131982,64181,83177,37540
3,20210104,280624,153987,271459,97259
4,20210105,284649,151296,271883,97867
5,20210106,293422,147281,284014,99531
6,20210107,296642,137985,291358,100703
7,20210108,284599,133729,272445,94592
8,20210109,184484,91741,140202,57041
9,20210110,129913,64912,96098,37720
10,20210111,286326,148963,274159,97243
11,20210112,306038,163584,297537,105492
12,20210113,305784,158959,292341,103016
13,20210114,301003,166922,286351,101597
14,20210115,308318,163636,287038,101389
15,20210116,211896,119373,155868,64126
16,20210117,149029,75595,101478,43197
17,20210118,307944,156970,297635,104515
18,20210119,301455,153445,291153,100965
19,20210120,317694,173415,303808,105696
20,20210121,310304,166059,298804,103451
21,20210122,326946,170887,304368,105568
22,20210123,234422,129000,176534,68988
23,20210124,173767,87669,121312,48192
24,20210125,319982,175716,305576,105654
25,20210126,314406,163635,304949,104380
26,20210127,329816,182250,313440,108474
27,20210128,317056,162692,306105,105556
28,20210129,321916,160320,301496,103462
29,20210130,235389,129080,178887,68822
30,20210131,177127,93142,122996,49009
31,20210201,324750,178961,308082,107803
32,20210202,323539,171865,311093,106998
33,20210203,330969,182585,325621,110653
34,20210204,327320,171346,324034,109927
35,20210205,336396,190329,325052,110381
36,20210206,237754,141608,191897,72891
37,20210207,172533,99771,131695,50176
38,20210208,327618,184659,318356,109292
39,20210209,335001,185877,321657,109755
40,20210210,332163,179979,305439,105133
41,20210211,149810,81607,105127,44016
42,20210212,108954,47555,72468,34427
43,20210213,177925,76317,121717,49352
44,20210214,177884,77524,120178,47802
45,20210215,321617,160685,303249,105895
46,20210216,332156,163688,320201,108439
47,20210217,326001,158204,316092,106500
48,20210218,333279,162280,321199,107881
49,20210219,356647,181608,334804,111830
50,20210220,270106,139656,205035,77549
51,20210221,204212,97626,145041,55183
52,20210222,345964,179431,323608,111089
53,20210223,343724,176326,327408,111628
54,20210224,347646,178551,332496,112134
55,20210225,346596,176194,333223,111426
56,20210226,370254,182714,343110,114230
57,20210227,286650,142423,213545,79164
58,20210228,220330,102981,154864,59054
59,20210301,164368,80073,123343,48325
60,20210302,346428,176583,332074,113424
61,20210303,351265,180716,338714,115030
62,20210304,350335,179891,336221,113346
63,20210305,379184,190067,354266,117369
64,20210306,282407,143398,218107,81942
65,20210307,213236,103496,152690,57867
66,20210308,347009,179552,330538,114564
67,20210309,351055,182618,341351,116315
68,20210310,357193,182652,344219,116628
69,20210311,353086,181517,341156,115550
70,20210312,370335,186310,349668,118090
71,20210313,296222,145869,225932,82109
72,20210314,218018,103524,151300,57202
73,20210315,347762,180389,332873,113872
74,20210316,351305,182419,339160,115688
75,20210317,359048,184562,346343,116857
76,20210318,359155,186046,344790,115959
77,20210319,388822,195499,358320,119453
78,20210320,263656,127935,205202,76055
79,20210321,222415,107269,154970,57707
80,20210322,349403,182668,336048,115340
81,20210323,357409,185082,345460,117722
82,20210324,362622,185447,347514,117487
83,20210325,367307,188852,348058,118641
84,20210326,391738,199240,357532,120050
85,20210327,269494,133804,205269,77649
86,20210328,193626,91448,137102,51887
87,20210329,350313,183296,336242,115037
88,20210330,363503,187372,346277,117249
89,20210331,374854,187911,352106,117419
90,20210401,377072,186131,353381,117868
91,20210402,399913,195336,363163,119253
92,20210403,246748,116965,189227,69418
93,20210404,222700,107007,155030,56237
94,20210405,363196,186616,340762,116406
95,20210406,368934,187690,347266,118509
96,20210407,367126,182966,344812,117056
97,20210408,366490,186893,347476,117863
98,20210409,389077,195362,356447,119786
99,20210410,317963,151573,226419,83424
100,20210411,236294,109594,158744,60407
101,20210412,336102,170826,325544,113215
102,20210413,350854,181233,342876,116610
103,20210414,357963,182740,345931,116992
104,20210415,359291,186253,346429,117037
105,20210416,360887,181034,343208,114044
106,20210417,273575,141371,213073,78835
107,20210418,220250,106929,156952,58433
108,20210419,346356,181547,335270,116591
109,20210420,353382,185286,346620,120135
110,20210421,358067,184056,349658,119418
111,20210422,356856,182286,344446,118827
112,20210423,375152,190196,354765,119020
113,20210424,299434,146170,220122,82337
114,20210425,230773,106145,156514,59565
115,20210426,357698,183324,338652,116272
116,20210427,356985,181858,344308,117384
117,20210428,365323,183028,348710,117252
118,20210429,365127,182973,350234,117336
119,20210430,382941,189507,357148,118664
120,20210501,263857,133460,198056,73336
121,20210502,241404,109983,162835,58731
122,20210503,363422,187964,341312,116164
123,20210504,351579,172640,340974,113651
124,20210505,289124,127447,196235,70070
125,20210506,372065,187970,346194,117894
126,20210507,375467,185471,349634,117451
127,20210508,261612,131228,191801,75574
128,20210509,244314,105772,157364,59930
129,20210510,347940,176347,331336,114605
130,20210511,373069,187484,350104,118855
131,20210512,375844,186137,352423,119389
132,20210513,373380,185741,352068,118556
133,20210514,402553,194626,364524,121132
134,20210515,282609,137331,213218,79679
135,20210516,178485,78943,129521,48044
136,20210517,347087,172977,334288,114224
137,20210518,387943,193744,361925,121947
138,20210519,291163,131744,207847,75578
139,20210520,354355,178158,341631,116661
140,20210521,378294,186821,353516,119028
141,20210522,318547,152374,230877,86488
142,20210523,231505,106672,156382,60397
143,20210524,358326,182915,344299,117974
144,20210525,359285,181101,348078,118410
145,20210526,369061,186467,354879,119657
146,20210527,353346,170801,342482,115114
147,20210528,369210,180703,348557,116047
148,20210529,291718,143664,221004,81223
149,20210530,233010,110469,160605,60432
150,20210531,348013,180587,335393,115554
151,20210601,354245,180024,343141,117038
152,20210602,357886,182328,347560,116835
153,20210603,342334,170895,338276,113134
154,20210604,386176,196080,361451,119465
155,20210605,303947,149977,228604,83744
156,20210606,218992,105508,155762,58600
157,20210607,345826,178148,333165,114707
158,20210608,352154,180853,340756,117582
159,20210609,353334,179388,344968,116840
160,20210610,354554,183080,343222,116316
161,20210611,363517,183874,344116,115659
162,20210612,285136,143648,217849,81435
163,20210613,211066,101842,149570,56623
164,20210614,346777,177375,331692,116999
165,20210615,347530,175756,344481,116283
166,20210616,364588,183600,357121,119949
167,20210617,360220,185201,352075,118361
168,20210618,374333,183290,360204,116991
169,20210619,308620,151562,234614,84103
170,20210620,225935,107759,162711,58809
171,20210621,367219,186422,351264,116558
172,20210622,365747,183900,352670,117999
173,20210623,365534,183827,353925,117244
174,20210624,371604,185830,357532,117994
175,20210625,395173,197488,365580,120276
176,20210626,291865,145402,221073,80495
177,20210627,227470,108976,160057,60192
178,20210628,355706,181614,339410,116690
179,20210629,362278,183417,353417,117688
180,20210630,365443,181579,351608,117128
181,20210701,368298,185625,353806,117283
182,20210702,388524,194281,363203,119492
183,20210703,265438,138724,204647,75865
184,20210704,184829,84667,133216,50108
185,20210705,358600,186328,343678,116697
186,20210706,367218,185948,350398,118080
187,20210707,351807,180032,342258,115528
188,20210708,339033,174136,331545,111553
189,20210709,349901,181635,329037,112970
190,20210710,235835,126388,179984,71571
191,20210711,165817,83971,120276,47647
192,20210712,307518,159260,293728,104498
193,20210713,306611,159617,295674,104740
194,20210714,304463,156737,293813,103224
195,20210715,300150,155496,288585,101424
196,20210716,311091,163993,293288,102963
197,20210717,215180,116461,164269,65327
198,20210718,159206,82627,113636,45500
199,20210719,299957,158705,288558,102427
200,20210720,307414,161914,296666,104107
201,20210721,305625,156274,293797,103130
202,20210722,299835,152283,289899,101063
203,20210723,312984,161770,294532,103171
204,20210724,211343,111710,162469,65361
205,20210725,151779,79656,109357,44570
206,20210726,300119,157142,288710,101327
207,20210727,300094,155611,290156,101189
208,20210728,299705,154932,289858,100262
209,20210729,298397,154418,284210,99778
210,20210730,308093,160060,288292,100739
211,20210731,209108,113038,159734,62905
212,20210801,151825,80888,109740,43567
