,날짜,광진구유동인구,동대문구유동인구,성동구유동인구,중랑구유동인구
0,20190101,242822.0,109805.0,138272.0,47363.0
1,20190102,436485.0,218377.0,367033.0,111222.0
2,20190103,448831.0,227808.0,380877.0,114162.0
3,20190104,477810.0,240630.0,392128.0,116232.0
4,20190105,402341.0,198925.0,254499.0,83444.0
5,20190106,291389.0,148072.0,179771.0,61760.0
6,20190107,442308.0,228605.0,379422.0,114853.0
7,20190108,444457.0,228634.0,383835.0,114971.0
8,20190109,443805.0,218576.0,382727.0,112851.0
9,20190110,451721.0,231683.0,387625.0,115184.0
10,20190111,482978.0,245113.0,397934.0,117494.0
11,20190112,410627.0,209339.0,261159.0,87554.0
12,20190113,302541.0,151187.0,186285.0,61870.0
13,20190114,436575.0,220644.0,365840.0,113008.0
14,20190115,443386.0,225908.0,379549.0,114639.0
15,20190116,444450.0,225974.0,381345.0,114033.0
16,20190117,452681.0,238392.0,387965.0,115860.0
17,20190118,479595.0,249526.0,397248.0,117985.0
18,20190119,407608.0,209496.0,260789.0,85797.0
19,20190120,307202.0,154245.0,181638.0,64293.0
20,20190121,437997.0,227527.0,372414.0,113288.0
21,20190122,442928.0,239892.0,383406.0,115912.0
22,20190123,452111.0,240635.0,385697.0,115887.0
23,20190124,455586.0,241719.0,388549.0,115636.0
24,20190125,482613.0,254882.0,399988.0,118135.0
25,20190126,411029.0,215276.0,269643.0,87386.0
26,20190127,305321.0,160971.0,185586.0,63598.0
27,20190128,440917.0,240676.0,378599.0,115117.0
28,20190129,445696.0,243877.0,384596.0,115955.0
29,20190130,452849.0,247939.0,391712.0,116562.0
30,20190131,449170.0,243554.0,386728.0,116162.0
31,20190201,465142.0,249065.0,379911.0,115723.0
32,20190202,331161.0,199218.0,211500.0,73645.0
33,20190203,223023.0,119848.0,134712.0,49374.0
34,20190204,186313.0,110529.0,110805.0,42647.0
35,20190205,184047.0,87165.0,106598.0,46675.0
36,20190206,256454.0,114885.0,145238.0,52877.0
37,20190207,431228.0,208984.0,353222.0,109494.0
38,20190208,463633.0,221599.0,379223.0,114067.0
39,20190209,387259.0,193140.0,250403.0,82823.0
40,20190210,290734.0,139268.0,175340.0,61095.0
41,20190211,452204.0,227725.0,380151.0,116975.0
42,20190212,458392.0,231018.0,388799.0,117911.0
43,20190213,463628.0,232832.0,393753.0,118494.0
44,20190214,472694.0,236063.0,398060.0,120242.0
45,20190215,491649.0,240572.0,407572.0,120507.0
46,20190216,464733.0,214906.0,285088.0,93561.0
47,20190217,326003.0,158201.0,193318.0,66539.0
48,20190218,457424.0,229421.0,382043.0,117799.0
49,20190219,450862.0,214401.0,387225.0,117632.0
50,20190220,469661.0,235374.0,398188.0,118970.0
51,20190221,475183.0,236845.0,406302.0,121463.0
52,20190222,520205.0,249449.0,412154.0,121292.0
53,20190223,445659.0,221439.0,295216.0,95083.0
54,20190224,338580.0,162318.0,207017.0,68632.0
55,20190225,464534.0,234431.0,387210.0,117953.0
56,20190226,476873.0,235840.0,403538.0,120157.0
57,20190227,477430.0,238752.0,396541.0,119651.0
58,20190228,501403.0,244698.0,406877.0,120745.0
