일자,기온(°C),풍속(m/s),체감온도(°C)
21-06-17,,,
21-06-18,,,
21-06-19,,,
21-06-20,,,
21-06-21,,,
21-06-22,,,
21-06-23,,,
21-06-24,,,
21-06-25,,,
21-06-26,,,
21-06-27,,,
21-06-28,,,
21-06-29,,,
21-06-30,,,
21-07-01,,,
21-07-02,,,
21-07-03,,,
21-07-04,,,
21-07-05,,,
21-07-06,,,
21-07-07,,,
21-07-08,,,
21-07-09,,,
21-07-10,,,
21-07-11,,,
21-07-12,,,
21-07-13,,,
21-07-14,,,
21-07-15,,,
21-07-16,,,
21-07-17,,,
21-07-18,,,
21-07-19,,,
21-07-20,,,
21-07-21,,,
21-07-22,,,
21-07-23,,,
21-07-24,,,
21-07-25,,,
21-07-26,,,
21-07-27,,,
21-07-28,,,
21-07-29,,,
21-07-30,,,
21-07-31,,,
21-08-01,,,
21-08-02,,,
21-08-03,,,
21-08-04,,,
21-08-05,,,
21-08-06,,,
21-08-07,,,
21-08-08,,,
21-08-09,,,
21-08-10,,,
21-08-11,,,
21-08-12,,,
21-08-13,,,
21-08-14,,,
21-08-15,,,
21-08-16,,,
21-08-17,,,
21-08-18,,,
21-08-19,,,
21-08-20,,,
21-08-21,,,
21-08-22,,,
21-08-23,,,
21-08-24,,,
21-08-25,,,
21-08-26,,,
21-08-27,,,
21-08-28,,,
21-08-29,,,
21-08-30,,,
21-08-31,,,
21-09-01,,,
21-09-02,,,
21-09-03,,,
21-09-04,,,
21-09-05,,,
21-09-06,,,
21-09-07,,,
21-09-08,,,
21-09-09,,,
21-09-10,,,
21-09-11,,,
21-09-12,,,
21-09-13,,,
21-09-14,,,
21-09-15,,,
21-09-16,,,
21-09-17,,,
21-09-18,,,
21-09-19,,,
21-09-20,,,
21-09-21,,,
21-09-22,,,
21-09-23,,,
21-09-24,,,
21-09-25,,,
21-09-26,,,
21-09-27,,,
21-09-28,,,
21-09-29,,,
21-09-30,,,
21-10-01,,,
21-10-02,,,
21-10-03,,,
21-10-04,,,
21-10-05,,,
21-10-06,,,
21-10-07,,,
21-10-08,,,
21-10-09,,,
21-10-10,,,
21-10-11,,,
21-10-12,,,
21-10-13,,,
21-10-14,,,
21-10-15,,,
21-10-16,4.3,18.4,0.4
21-10-17,1.4,28.1,-4.5
21-10-18,3,12.6,-0.3
21-10-19,7.4,11.2,5.3
21-10-20,5,11.9,2.3
21-10-21,5.3,7.9,3.5
21-10-22,5.4,9,3.4
21-10-23,5.7,8.3,3.9
21-10-24,6.1,7.6,4.5
21-10-25,9.2,6.5,8.4
21-10-26,7.7,9,6.1
21-10-27,9.9,13.7,8
21-10-28,7.3,6.8,6.1
21-10-29,,,
21-10-30,,,
21-10-31,9.2,9.7,7.7
21-11-01,,,
21-11-02,8.7,7.9,7.5
21-11-03,7.8,7.2,6.6
21-11-04,8.5,9,7
21-11-05,7.9,8.6,6.4
21-11-06,8.9,9.4,7.4
21-11-07,9.8,9,8.6
21-11-08,5.4,27,0.8
21-11-09,3.8,21.2,-0.6
21-11-10,2.1,19.8,-2.6
21-11-11,3.5,21.2,-1
21-11-12,2.6,18.7,-1.8
21-11-13,0.5,9,-2.4
21-11-14,7.9,7.9,6.6
21-11-15,5.9,7.2,4.4
21-11-16,4.5,6.8,2.9
21-11-17,2.7,10.1,-0.1
21-11-18,7.8,10.8,5.9
21-11-19,,,
21-11-20,7,10.1,5
21-11-21,7.6,30.2,3.4
21-11-22,-0.5,21.6,-6.1
21-11-23,-2.5,19.1,-8.3
21-11-24,-2.3,9.7,-6
21-11-25,2.6,14.4,-1.1
21-11-26,-0.3,8.6,-3.3
21-11-27,-1.3,9.7,-4.8
21-11-28,-1.3,10.1,-4.9
21-11-29,2.8,10.1,0
21-11-30,0.9,31.7,-5.5
21-12-01,-2.6,26.6,-9.5
21-12-02,-4.6,11.2,-9.2
21-12-03,-1.8,10.1,-5.5
21-12-04,-2.7,7.9,-5.9
21-12-05,-2.3,9.4,-5.9
21-12-06,-0.6,10.1,-4.1
21-12-07,3.1,8.3,0.8
21-12-08,2,10.1,-0.9
21-12-09,2.8,11.9,-0.4
21-12-10,6,11.5,3.6
21-12-11,5.1,13.3,2.1
21-12-12,-2.8,25.9,-9.6
21-12-13,-5.7,16.2,-11.7
21-12-14,0,11.9,-3.8
21-12-15,5.8,14.4,2.8
21-12-16,3.5,21.2,-1
21-12-17,-9,29.9,-18.2
21-12-18,-11.2,11.9,-17.3
21-12-19,-5.3,8.3,-9.1
21-12-20,-0.8,10.4,-4.4
21-12-21,1.8,18.7,-2.8
21-12-22,-1.7,11.9,-5.8
21-12-23,-1.3,9.4,-4.7
21-12-24,-7.2,28.4,-15.7
21-12-25,-13.2,27,-23.2
21-12-26,-15.4,23,-25.3
21-12-27,-12.2,14,-19.2
21-12-28,-8.3,11.9,-13.8
21-12-29,-3.7,8.3,-7.2
21-12-30,-5.4,25.2,-12.9
21-12-31,-8.6,19.1,-15.9
