가입일자,사용자코드,연령대코드,성별,가입 수
'2018-01-11','회원-내국인','20대','F',13
'2018-01-11','회원-내국인','20대','M',28
'2018-01-11','회원-내국인','30대','F',6
'2018-01-11','회원-내국인','30대','M',8
'2018-01-11','회원-내국인','40대','F',2
'2018-01-11','회원-내국인','40대','M',9
'2018-01-11','회원-내국인','50대','F',1
'2018-01-11','회원-내국인','50대','M',4
'2018-01-11','회원-내국인','60대','F',1
'2018-01-11','회원-내국인','60대','M',1
'2018-01-11','회원-내국인','70대~','M',2
'2018-01-12','회원-내국인','20대','F',14
'2018-01-12','회원-내국인','20대','M',20
'2018-01-12','회원-내국인','30대','F',3
'2018-01-12','회원-내국인','30대','M',10
'2018-01-12','회원-내국인','40대','F',3
'2018-01-12','회원-내국인','40대','M',17
'2018-01-12','회원-내국인','50대','F',2
'2018-01-12','회원-내국인','50대','M',6
'2018-01-12','회원-내국인','60대','F',1
'2018-01-12','회원-내국인','60대','M',3
'2018-01-13','회원-내국인','~10대','F',2
'2018-01-13','회원-내국인','~10대','M',6
'2018-01-13','회원-내국인','20대','F',20
'2018-01-13','회원-내국인','20대','M',18
'2018-01-13','회원-내국인','30대','F',7
'2018-01-13','회원-내국인','30대','M',16
'2018-01-13','회원-내국인','40대','F',4
'2018-01-13','회원-내국인','40대','M',7
'2018-01-13','회원-내국인','50대','F',5
'2018-01-13','회원-내국인','50대','M',2
'2018-01-13','회원-내국인','60대','M',2
'2018-01-14','회원-내국인','~10대','F',6
'2018-01-14','회원-내국인','~10대','M',4
'2018-01-14','회원-내국인','20대','F',51
'2018-01-14','회원-내국인','20대','M',66
'2018-01-14','회원-내국인','30대','F',29
'2018-01-14','회원-내국인','30대','M',34
'2018-01-14','회원-내국인','40대','F',11
'2018-01-14','회원-내국인','40대','M',13
'2018-01-14','회원-내국인','50대','F',7
'2018-01-14','회원-내국인','50대','M',10
'2018-01-14','회원-내국인','60대','F',1
'2018-01-14','회원-내국인','60대','M',2
'2018-01-14','회원-내국인','70대~','F',1
'2018-01-15','회원-내국인','~10대','F',6
'2018-01-15','회원-내국인','~10대','M',4
'2018-01-15','회원-내국인','20대','F',49
'2018-01-15','회원-내국인','20대','M',61
